K,399,43,49,79,46,22,21,21,52,71,74,29,60,21,79,70,53,17,58,4,61,19,1,25,18,1,4,2,5,13,17,41,16,10,12,6,1,39,2,37,137,246,149,3,71,57,80,228,42,25,6,98,38,133,119,54,64,92,210,55,17,45,29,3,122,108,40,34,64,81,108,56,9,57,78,57,26,28,64,53,28,30,67,17,14,25,27,14,66,101,80,28,31,30,47,69,82,52,29,43
K,431,21,48,45,34,24,12,33,61,71,73,40,38,26,65,40,72,21,71,10,8,23,27,6,24,61,3,74,44,28,23,17,2,16,26,26,14,8,4,2,2,88,19,10,12,19,13,39,478,293,317,35,94,118,367,183,243,7,94,408,119,127,26,81,53,330,96,51,3,1,57,160,168,166,23,78,199,105,101,26,46,55,118,10,34,76,18,57,49,50,8,41,32,27,3,17,20,38,44,37
K,18,1,3,9,11,13,10,9,8,13,12,16,19,22,12,16,16,26,31,12,53,31,48,31,45,29,8,19,1,19,43,55,10,24,32,6,26,105,32,18,118,38,29,18,5,4,22,1,1,5,6,26,11,33,45,32,8,3,9,54,55,28,15,21,19,10,14,11,7,18,17,23,12,5,18,1,3,4,5,1,1,1,7,13,5,6,15,3,22,25,40,33,20,77,6,40,34,84,67,50
K,19,35,61,61,50,26,19,35,56,73,30,86,55,77,36,38,32,8,38,75,64,47,15,13,38,30,38,2,21,31,24,28,5,35,5,4,4,25,5,21,1,6,6,36,14,22,21,228,427,98,104,51,207,237,165,33,23,285,115,210,85,226,78,157,13,114,47,137,96,54,22,11,68,88,38,140,40,35,14,46,21,8,49,44,31,5,12,37,5,35,28,80,25,28,62,11,58,12,36,71
K,422,25,42,45,31,38,16,35,34,60,40,63,41,72,75,25,59,22,24,31,28,8,18,14,19,32,11,11,20,26,16,26,5,17,7,14,8,1,43,3,17,2,10,11,9,4,10,11,2,8,435,333,181,55,106,141,118,82,34,531,106,39,7,89,215,258,166,87,223,170,168,15,103,226,94,131,11,21,64,58,210,6,49,16,85,20,54,29,22,20,40,92,7,7,32,59,9,35,12,42
K,310,5,32,34,31,17,12,13,34,60,39,41,37,21,36,10,83,62,40,60,22,34,36,8,8,29,109,52,22,70,93,13,69,4,20,29,42,32,14,1,3,1,3,12,6,2,28,120,297,180,37,72,166,217,87,8,70,180,112,66,28,17,42,158,93,33,25,70,119,73,35,19,79,78,42,7,25,20,98,39,39,4,39,35,76,23,8,33,55,47,19,12,15,32,24,26,2,28,28,43
K,25,11,37,46,16,28,24,37,45,59,53,92,34,23,55,78,42,49,1,74,38,53,44,54,38,24,18,6,8,2,26,94,36,19,50,18,11,13,45,4,12,12,7,16,3,1,2,143,39,296,700,152,64,65,180,353,98,40,15,122,32,360,131,132,1,2,70,58,299,132,10,15,21,107,213,135,8,117,18,99,18,3,45,62,22,25,56,32,16,39,67,9,11,54,33,18,31,70,21,22
K,22,4,19,16,20,14,13,10,26,36,28,31,27,36,25,45,13,20,76,115,59,19,37,42,58,35,6,24,9,6,37,48,2,2,68,32,14,6,5,11,17,28,4,16,5,8,46,72,7,15,14,10,11,3,6,22,31,18,124,18,48,56,15,1,27,33,9,9,1,4,5,7,3,2,4,4,5,4,9,13,8,13,18,35,20,42,27,45,24,42,59,32,53,10,36,14,36,56,14,42
K,5,4,1,25,50,55,54,28,25,37,50,83,84,18,86,46,31,95,41,41,16,7,23,100,41,80,7,25,36,18,48,12,7,15,2,9,18,3,2,6,6,1,6,2,5,3,27,64,352,309,23,25,160,75,12,242,335,66,6,31,126,290,144,68,100,205,107,172,24,65,9,177,110,55,2,30,52,136,28,17,23,8,18,12,65,1,11,26,80,13,26,34,10,10,19,60,3,26,29,24
K,3,2,21,31,33,23,18,27,26,42,34,51,38,70,22,62,48,53,51,52,21,30,57,48,20,22,22,22,40,66,51,29,24,3,6,36,2,4,27,2,23,15,14,12,14,3,16,8,29,118,68,41,344,478,199,16,135,341,130,164,30,134,20,369,64,115,23,6,20,66,137,194,117,37,86,196,74,19,81,74,53,16,51,116,6,20,56,9,58,50,91,11,30,39,37,10,23,12,30,33
